a        | 啊  | Particle                       → Oh                             (O)
nie      | 聂  | Surname                        → Dnieper                        (D)
nie      | 涅  | Nirvana                        → Hane                           (H)
nie      | 蹑  | Tiptoe                         → With                           (W)
niu      | 纽  | Knot                           → New                            (N)
niu      | 钮  | Knob                           → Push                           (P)
nong     | 弄  | Play                           → Wet                            (W)
ou       | 偶  | Couple                         → to                             (t)
ou       | 耦  | Couple                         → Ouyuan                         (O)
ou       | 讴  | Sing                           → Praise                         (P)
pa       | 怕  | Fear                           → To                             (T)
pa       | 葩  | Flower                         → Eccentric                      (E)
pa       | 爬  | Climb                          → To                             (T)
pa       | 帕  | Handkerchief                   → Apa                            (A)
pa       | 扒  | Scratch                        → Naked                          (N)
pai      | 派  | Faction                        → To                             (T)
pai      | 迫  | Force                          → To                             (T)
pai      | 牌  | Card                           → Tag                            (T)
pai      | 俳  | Clown                          → Haiku                          (H)
pan      | 潘  | Surname                        → Mr.                            (M)
pan      | 磐  | Stone                          → Like                           (L)
pang     | 彷  | Hesitate                       → Wandering                      (W)
pao      | 跑  | Run                            → To                             (T)
pao      | 炮  | Roast                          → To                             (T)
pao      | 袍  | Robe                           → Fellow                         (F)
pao      | 抛  | Cast                           → To                             (T)
pei      | 配  | Pair                           → To                             (T)
pei      | 赔  | Pay                            → To                             (T)
pei      | 培  | Cultivate                      → To                             (T)
pei      | 沛  | Copious                        → The                            (T)
peng     | 碰  | Hit                            → At                             (A)
peng     | 捧  | Hold up                        → Many                           (M)
peng     | 彭  | Surname                        → Peng                           (P)
peng     | 棚  | Shed                           → Pen                            (P)
peng     | 膨  | Swell                          → Puff                           (P)
peng     | 抨  | Criticize                      → Attack                         (A)
pi       | 批  | Approve                        → In                             (I)
pi       | 毗  | Adjacent                       → Xinpi                          (X)
pi       | 疲  | Tired                          → Utterly                        (U)
pi       | 脾  | Temperament                    → Jipi                           (J)
pi       | 匹  | Pair                           → Match                          (M)
pi       | 啤  | Beer                           → Hops                           (H)
pi       | 坯  | Blank                          → Mud                            (M)
pi       | 枇  | Loquat                         → Jiepi                          (J)
pian     | 片  | Piece                          → In                             (I)
pian     | 骗  | Cheat                          → Be                             (B)
pian     | 篇  | Chapter                        → One                            (O)
piao     | 飘  | Float                          → To                             (T)
piao     | 漂  | Float                          → To                             (T)
piao     | 瓢  | Scoop                          → Ladybug                        (L)
piao     | 骠  | Steed                          → Yellow                         (Y)
piao     | 缥  | Pale blue                      → Vague                          (V)
piao     | 朴  | Plain                          → Li                             (L)
ping     | 凭  | Depend                         → To                             (T)
ping     | 萍  | Duckweed                       → Zhou                           (Z)
po       | 坡  | Slope                          → Hepo                           (H)
po       | 魄  | Soul                           → Heart                          (H)
po       | 泼  | Splash                         → To                             (T)
po       | 泊  | Anchor                         → To                             (T)
po       | 珀  | Amber                          → Kupo                           (K)
po       | 朴  | Plain                          → Li                             (L)
pu       | 普  | General                        → To                             (T)
pu       | 圃  | Garden                         → Yipu                           (Y)
pu       | 扑  | Pounce                         → To                             (T)
pu       | 朴  | Plain                          → Zhupu                          (Z)
pu       | 铺  | Shop                           → To                             (T)
pu       | 仆  | Servant                        → To                             (T)
pu       | 溥  | Broad                          → Yangpu                         (Y)
pu       | 蒲  | Rush                           → Tufted                         (T)
pu       | 璞  | Raw jade                       → Zong                           (Z)
qi       | 起  | Rise                           → Let                            (L)
qi       | 骑  | Ride                           → Light                          (L)
qi       | 戚  | Relative                       → Xiu                            (X)
qi       | 崎  | Rugged                         → Xiaoqiai                       (X)
qi       | 气  | Air                            → 江湖                             (江)
qi       | 弃  | Abandon                        → Xin                            (X)
qi       | 契  | Agreement                      → Land                           (L)
qi       | 祺  | Auspicious                     → Duan                           (D)
qi       | 其  | Its                            → Do                             (D)
qi       | 稽  | Inspect                        → Kuaiji                         (K)
qi       | 奇  | Odd                            → Liu                            (L)
qi       | 启  | Open                           → Xu                             (X)
qi       | 期  | Period                         → Dry                            (D)
qi       | 漆  | Paint                          → Lacquer                        (L)
qi       | 祈  | Pray                           → Yearning                       (Y)
qi       | 栖  | Perch                          → 栖霞                             (栖)
qi       | 七  | Seven                          → Xiao                           (X)
qi       | 汽  | Steam                          → Ethanol                        (E)
qi       | 凄  | Sad                            → Desolate                       (D)
qi       | 祁  | Surname Qi                     → Yiqi                           (Y)
qi       | 器  | Tool                           → Low                            (L)
qi       | 颀  | Tall                           → Liqi                           (L)
qi       | 齐  | Neat                           → King                           (K)
qi       | 妻  | Wife                           → Lost                           (L)
qi       | 企  | Hope                           → Key                            (K)
qi       | 旗  | Flag                           → Eight                          (E)
qi       | 歧  | Fork                           → Disagreement                   (D)
qi       | 岐  | Fork                           → King                           (K)
qi       | 鳍  | Fin                            → Dorsal                         (D)
qi       | 畦  | Field                          → Level                          (L)
qi       | 欺  | Bully                          → Deceit                         (D)
qi       | 乞  | Beg                            → Xiqi                           (X)
qi       | 琪  | Jade                           → Xiao                           (X)
qi       | 琦  | Jade                           → Luqi                           (L)
qi       | 麒  | Unicorn                        → Liujiaqi                       (L)
qi       | 绮  | Gorgeous                       → Luo                            (L)
qi       | 祇  | God                            → Divine                         (D)
qi       | 淇  | Qi River                       → Zhuqi                          (Z)
qi       | 蕲  | Qi (county)                    → Xiquizhou                      (X)
qian     | 钱  | Coin                           → No                             (N)
qian     | 牵  | Pull                           → Weak                           (W)
qian     | 倩  | Pretty                         → Xiao                           (X)
qian     | 虔  | Pious                          → Earnest                        (E)
qian     | 扦  | Prick                          → Grafting                       (G)
qian     | 浅  | Superficial                    → Easy                           (E)
qian     | 签  | Sign                           → Not                            (N)
qian     | 遣  | Send                           → Amuse                          (A)
qian     | 纤  | Slender                        → Acetate                        (A)
qian     | 钤  | Seal                           → Zhuqiqian                      (Z)
qian     | 歉  | Regret                         → Apology                        (A)
qian     | 谦  | Modest                         → Qian                           (Q)
qian     | 迁  | Move                           → West                           (W)
qian     | 铅  | Lead                           → Galena                         (G)
qian     | 骞  | Lift                           → Zhang                          (Z)
qiang    | 抢  | Rob                            → To                             (T)
qiang    | 蔷  | Rose                           → Xiaoqiang                      (X)
qiang    | 腔  | Cavity                         → To                             (T)
qiang    | 呛  | Choke                          → Be                             (B)
qiang    | 嫱  | Court lady                     → Beautiful                      (B)
qiang    | 跄  | Stagger                        → To                             (T)
qiao     | 瞧  | See                            → You                            (Y)
qiao     | 鞘  | Sheath                         → Drawn                          (D)
qiao     | 壳  | Shell                          → Add                            (A)
qiao     | 敲  | Beat                           → Knock                          (K)
qiao     | 桥  | Bridge                         → Yu                             (Y)
qiao     | 雀  | Bird                           → Every                          (E)
qiao     | 乔  | Tall                           → Ye                             (Y)
qiao     | 翘  | Tilt                           → Arch                           (A)
qiao     | 俏  | Pretty                         → Looking                        (L)
qiao     | 撬  | Prize                          → Lever                          (L)
qiao     | 憔  | Weary                          → Emaciated                      (E)
qiao     | 樵  | Woodcutter                     → Guqiao                         (G)
qie      | 且  | And                            → Let                            (L)
qie      | 契  | Agreement                      → Land                           (L)
qie      | 切  | Cut                            → Do                             (D)
qie      | 妾  | Concubine                      → Wives                          (W)
qie      | 锲  | Carve                          → Persistent                     (P)
qie      | 挈  | Carry                          → Bring                          (B)
qie      | 窃  | Steal                          → Petty                          (P)
qin      | 寝  | Sleep                          → Go                             (G)
qin      | 沁  | Seep                           → Liqin                          (L)
qing     | 轻  | Light                          → Of                             (O)
qing     | 擎  | Lift                           → To                             (T)
qing     | 清  | Pure                           → To                             (T)
qing     | 倾  | Pour                           → To                             (T)
qing     | 情  | Feeling                        → To                             (T)
qing     | 晴  | Fine                           → Sunny                          (S)
qing     | 顷  | Moment                         → In                             (I)
qing     | 磬  | Chime                          → Yuqingzi                       (Y)
qiong    | 芎  | Ligusticum                     → Angelica                       (A)
qiu      | 秋  | Fall                           → Qu                             (Q)
qiu      | 裘  | Fur coat                       → Qiu                            (Q)
qiu      | 邱  | Surname Qiu                    → Qiu                            (Q)
qiu      | 逑  | Spouse                         → Gentleman's                    (G)
qu       | 去  | Go                             → Fly                            (F)
qu       | 取  | Get                            → Atm                            (A)
qu       | 区  | Region                         → Ai                             (A)
qu       | 曲  | Bend                           → Qu                             (Q)
qu       | 瞿  | Bamboo                         → Qu                             (Q)
qu       | 驱  | Drive                          → Hard                           (H)
qu       | 渠  | Ditch                          → Hequ                           (H)
qu       | 祛  | Dispel                         → Wind                           (W)
qu       | 娶  | Marry                          → Qimouqugong                    (Q)
qu       | 趋  | Tend                           → Overall                        (O)
qu       | 龋  | Tooth decay                    → Cavities                       (C)
quan     | 圈  | Circle                         → Mark                           (M)
quan     | 蜷  | Curl                           → Quanchuanshihua                (Q)
quan     | 劝  | Advise                         → Luquan                         (L)
quan     | 醛  | Aldehyde                       → Glyceraldehyde                 (G)
quan     | 泉  | Spring                         → Jade                           (J)
quan     | 铨  | Select                         → Guquan                         (G)
que      | 却  | But                            → Air                            (A)
que      | 雀  | Bird                           → Will                           (W)
que      | 确  | True                           → Proof                          (P)
que      | 阙  | Tower                          → Yuque                          (Y)
ran      | 然  | So                             → To                             (T)
ran      | 冉  | Slowly                         → Ran                            (R)
ran      | 燃  | Burn                           → To                             (T)
ran      | 髯  | Beard                          → Goatee                         (G)
rang     | 壤  | Soil                           → To                             (T)
rang     | 攘  | Seize                          → To                             (T)
ren      | 人  | Person                         → Hu                             (H)
ren      | 任  | Appoint                        → Ren                            (R)
ren      | 认  | Admit                          → Get                            (G)
ren      | 韧  | Tough                          → High                           (H)
ren      | 荏  | Tender                         → Hypocritical                   (H)
rong     | 融  | Melt                           → Kong                           (K)
rong     | 溶  | Melt                           → Karst                          (K)
rong     | 戎  | Military                       → Qiu                            (Q)
rong     | 熔  | Melt                           → Hot                            (H)
rong     | 冗  | Tedious                        → Redundancy                     (R)
rong     | 嵘  | Towering                       → Rugged                         (R)
rou      | 肉  | Meat                           → lean                           (l)
rou      | 鞣  | Tan                            → Leather                        (L)
ru       | 入  | Enter                          → To                             (T)
ru       | 茹  | Eat                            → Xuruyun                        (X)
ru       | 乳  | Milk                           → Lime                           (L)
ru       | 褥  | Mattress                       → Bedding                        (B)
ru       | 儒  | Scholar                        → Zhu                            (Z)
ru       | 濡  | Soak                           → Give                           (G)
ru       | 蠕  | Creep                          → Worm                           (W)
ru       | 孺  | Child                          → Known                          (K)
rui      | 瑞  | Lucky                          → Hai                            (H)
rui      | 蕊  | Stamen                         → Flower                         (F)
rui      | 芮  | Small                          → Ruicheng                       (R)
sa       | 撒  | Spread                         → Lie                            (L)
sa       | 洒  | Sprinkle                       → One’s                          (O)
sa       | 萨  | Sakya                          → El                             (E)
sai      | 腮  | Gill                           → Full                           (F)
sai      | 鳃  | Gill                           → Fish                           (F)
sao      | 扫  | Sweep                          → To                             (T)
sao      | 臊  | Shy                            → Foul                           (F)
se       | 色  | Color                          → To                             (T)
sha      | 傻  | Silly                          → Fool                           (F)
sha      | 莎  | Sedge                          → Qiao                           (Q)
sha      | 砂  | Sand                           → Red                            (R)
sha      | 杀  | Kill                           → To                             (T)
sha      | 煞  | Kill                           → Pale                           (P)
sha      | 厦  | Mansion                        → Dasha                          (D)
sha      | 霎  | Moment                         → For                            (F)
sha      | 杉  | Cedar                          → Red                            (R)
shan     | 删  | Erase                          → To                             (T)
shan     | 鳝  | Eel                            → Lishan                         (L)
shan     | 闪  | Flash                          → To                             (T)
shan     | 扇  | Fan                            → Pu                             (P)
shan     | 煽  | Fan                            → Incite                         (I)
shan     | 衫  | Shirt                          → To                             (T)
shan     | 姗  | Slow                           → Too                            (T)
shan     | 汕  | Sandbank                       → Dashan                         (D)
shan     | 赡  | Support                        → To                             (T)
shan     | 剡  | Shan River                     → Tianshan                       (T)
shan     | 单  | Single                         → To                             (T)
shan     | 讪  | Mock                           → To                             (T)
shan     | 膳  | Meal                           → Diet                           (D)
shan     | 杉  | Cedar                          → Los                            (L)
shan     | 嬗  | Change                         → Transmutation                  (T)
shang    | 尚  | Still                          → Old                            (O)
shang    | 汤  | Soup                           → In                             (I)
shao     | 烧  | Burn                           → Huo                            (H)
shao     | 韶  | Beautiful                      → Qin                            (Q)
shao     | 艄  | Boatman                        → Music                          (M)
shao     | 稍  | Slightly                       → Rest                           (R)
shao     | 邵  | Surname Shao                   → Xinshao                        (X)
shao     | 梢  | Twig                           → Yashaogong                     (Y)
she      | 射  | Shoot                          → Ray                            (R)
she      | 设  | Set                            → Old                            (O)
she      | 蛇  | Snake                          → Rat                            (R)
she      | 社  | Society                        → Old                            (O)
she      | 畲  | She (ethnic)                   → 畲族                             (畲)
she      | 舌  | Tongue                         → Rap                            (R)
she      | 摄  | Take                           → Video                          (V)
she      | 奢  | Luxurious                      → Zhao                           (Z)
shen     | 沈  | Surname                        → Ludian                         (L)
shen     | 渗  | Seep                           → Leakage                        (L)
shen     | 申  | Apply                          → To                             (T)
shen     | 呻  | Moan                           → To                             (T)
shen     | 莘  | Many                           → Numerous                       (N)
shen     | 参  | Participate                    → To                             (T)
sheng    | 生  | Live                           → If                             (I)
sheng    | 剩  | Leftover                       → Only                           (O)
sheng    | 声  | Sound                          → To                             (T)
sheng    | 升  | Rise                           → To                             (T)
sheng    | 绳  | Rope                           → Tie                            (T)
sheng    | 乘  | Ride                           → To                             (T)
shi      | 是  | Yes                            → In                             (I)
shi      | 时  | Time                           → In                             (I)
shi      | 十  | Ten                            → G7                             (G)
shi      | 试  | Try                            → Nuclear                        (N)
shi      | 事  | Matter                         → In                             (I)
shi      | 师  | Master                         → Zen                            (Z)
shi      | 实  | Real                           → In                             (I)
shi      | 室  | Room                           → Han                            (H)
shi      | 史  | Record                         → In                             (I)
shi      | 式  | Form                           → In                             (I)
shi      | 食  | Food                           → Hot                            (H)
shi      | 拾  | Formal ten                     → Honest                         (H)
shi      | 世  | World                          → In                             (I)
shi      | 湿  | Wet                            → Humid                          (H)
shi      | 什  | What                           → Not                            (N)
shi      | 始  | Start                          → It                             (I)
shi      | 士  | Scholar                        → Gao                            (G)
shi      | 石  | Stone                          → Qi                             (Q)
shi      | 视  | See                            → Guide                          (G)
shi      | 示  | Show                           → Hint                           (H)
shi      | 适  | Suitable                       → Hu                             (H)
shi      | 氏  | Surname                        → Xu                             (X)
shi      | 侍  | Serve                          → Guard                          (G)
shi      | 驶  | Sail                           → Heading                        (H)
shi      | 轼  | Shaft                          → Zhushi                         (Z)
shi      | 失  | Lose                           → In                             (I)
shi      | 狮  | Lion                           → Iron                           (I)
shi      | 似  | Like                           → How                            (H)
shi      | 识  | Know                           → Get                            (G)
shi      | 匙  | Key                            → Golden                         (G)
shi      | 势  | Power                          → Its                            (I)
shi      | 诗  | Poem                           → In                             (I)
shi      | 市  | City                           → Go                             (G)
shi      | 嗜  | Crave                          → Hobby                          (H)
shi      | 施  | Apply                          → Xi                             (X)
shi      | 饰  | Adorn                          → Home                           (H)
shi      | 释  | Explain                        → Note                           (N)
shi      | 蚀  | Erode                          → Glacial                        (G)
shi      | 尸  | Body                           → Grave                          (G)
shi      | 逝  | Die                            → Gone                           (G)
shi      | 矢  | Dart                           → Zhongdaidashi                  (Z)
shou     | 手  | Hand                           → Do                             (D)
shou     | 首  | Head                           → For                            (F)
shou     | 收  | Receive                        → End                            (E)
shou     | 绶  | Ribbon                         → Chen                           (C)
shou     | 兽  | Beast                          → Cub                            (C)
shou     | 寿  | Birthday                       → Xu                             (X)
shou     | 授  | Teach                          → Pass                           (P)
shou     | 瘦  | Thin                           → Pale                           (P)
shu      | 书  | Book                           → At                             (A)
shu      | 属  | Belong                         → Metal                          (M)
shu      | 束  | Bunch                          → End                            (E)
shu      | 黍  | Broomcorn                      → Millet                         (M)
shu      | 数  | Number                         → In                             (I)
shu      | 庶  | Numerous                       → Xu                             (X)
shu      | 术  | Skill                          → In                             (I)
shu      | 述  | State                          → As                             (A)
shu      | 殊  | Special                        → As                             (A)
shu      | 疏  | Sparse                         → Evacuate                       (E)
shu      | 署  | Sign                           → Executive                      (E)
shu      | 树  | Tree                           → On                             (O)
shu      | 薯  | Tuber                          → French                         (F)
shu      | 熟  | Cooked                         → One                            (O)
shu      | 舒  | Comfortable                    → Mushu                          (M)
shu      | 抒  | Convey                         → Express                        (E)
shu      | 叔  | Uncle                          → Yu                             (Y)
shu      | 竖  | Upright                        → In                             (I)
shu      | 鼠  | Rat                            → Male                           (M)
shu      | 漱  | Rinse                          → Xiamushushi                    (X)
shu      | 赎  | Redeem                         → Atonement                      (A)
shu      | 淑  | Gentle                         → Yaoshu                         (Y)
shu      | 蔬  | Greens                         → Fruit                          (F)
shu      | 恕  | Pardon                         → Excuse                         (E)
shu      | 暑  | Heat                           → Escape                         (E)
shu      | 枢  | Hub                            → Xushu                          (X)
shu      | 曙  | Dawn                           → Zhaoshu                        (Z)
shu      | 戍  | Defend                         → Military                       (M)
shuan    | 栓  | Bolt                           → Cork                           (C)
shuan    | 闩  | Bolt                           → Latch                          (L)
shun     | 顺  | Smooth                         → To                             (T)
shun     | 舜  | Shun (sage)                    → Yu                             (Y)
shuo     | 说  | Speak                          → To                             (T)
shuo     | 烁  | Sparkle                        → Weishuo                        (W)
shuo     | 槊  | Spear                          → To                             (T)
shuo     | 朔  | New moon                       → 朔望                             (朔)
shuo     | 数  | Number                         → To                             (T)
si       | 死  | Die                            → Of                             (O)
si       | 司  | Department                     → Ci                             (C)
si       | 四  | Four                           → Ji                             (J)
si       | 肆  | Formal four                    → Bold                           (B)
si       | 饲  | Feed                           → Green                          (G)
si       | 驷  | Four horses                    → Rangsi                         (R)
si       | 思  | Think                          → In                             (I)
si       | 斯  | This                           → Us                             (U)
si       | 撕  | Tear                           → Bite                           (B)
si       | 泗  | Tears                          → Yangsihong                     (Y)
si       | 丝  | Silk                           → Red                            (R)
si       | 厮  | Servant                        → You                            (Y)
si       | 巳  | Sixth                          → Year                           (Y)
si       | 蛳  | Snail                          → Water                          (W)
si       | 私  | Private                        → Bias                           (B)
si       | 嘶  | Hiss                           → Whimper                        (W)
si       | 嗣  | Heir                           → Chasili                        (C)
song     | 送  | Send                           → To                             (T)
song     | 嵩  | Song Mountain                  → Mount                          (M)
song     | 淞  | Song River                     → Wusongsheng                    (W)
song     | 松  | Pine                           → Wu                             (W)
song     | 颂  | Praise                         → To                             (T)
song     | 宋  | Dynasty                        → The                            (T)
song     | 耸  | Rise                           → To                             (T)
sou      | 搜  | Search                         → To                             (T)
sou      | 擞  | Shake                          → To                             (T)
sou      | 艘  | Classifier                     → Two                            (T)
su       | 诉  | Sue                            → Win                            (W)
su       | 肃  | Solemn                         → With                           (W)
su       | 愫  | Sincere                        → Wangsu                         (W)
su       | 缩  | Shrink                         → Zoom                           (Z)
su       | 苏  | Revive                         → Asu                            (A)
su       | 宿  | Lodge                          → Host                           (H)
su       | 僳  | Lisu (ethnic)                  → Nujianglisuzuzizhizhou         (N)
su       | 俗  | Custom                         → As                             (A)
su       | 酥  | Crisp                          → Yak                            (Y)
su       | 稣  | Crisp                          → Yesu                           (Y)
su       | 溯  | Trace                          → Undo                           (U)
sui      | 虽  | Although                       → Even                           (E)
sui      | 岁  | Age                            → In                             (I)
sui      | 随  | Follow                         → Off                            (O)
sui      | 燧  | Flint                          → Yao                            (Y)
sui      | 遂  | Succeed                        → Chu                            (C)
sui      | 隋  | Sui dynasty                    → Emperor                        (E)
sui      | 绥  | Soothe                         → Jin                            (J)
sui      | 睢  | Stare                          → Reckless                       (R)
sui      | 邃  | Deep                           → Profound                       (P)
sui      | 穗  | Tassel                         → Ear                            (E)
suo      | 索  | Rope                           → To                             (T)
suo      | 嗦  | Repeat                         → Tremble                        (T)
suo      | 缩  | Shrink                         → To                             (T)
suo      | 琐  | Small                          → Ugly                           (U)
ta       | 塔  | Tower                          → Red                            (R)
ta       | 踏  | Tread                          → Walk                           (W)
ta       | 塌  | Collapse                       → Messy                          (M)
ta       | 榻  | Couch                          → Bed                            (B)
ta       | 獭  | Otter                          → Pika                           (P)
tai      | 台  | Platform                       → On                             (O)
tai      | 肽  | Peptide                        → Endorphin                      (E)
tai      | 酞  | Phthalate                      → Wudatai                        (W)
tai      | 态  | State                          → Gu                             (G)
tai      | 泰  | Safe                           → As                             (A)
tan      | 谈  | Talk                           → No                             (N)
tan      | 谭  | Talk                           → Hatan                          (H)
tan      | 叹  | Sigh                           → Heave                          (H)
tan      | 摊  | Spread                         → Used                           (U)
tan      | 檀  | Sandalwood                     → Red                            (R)
tan      | 弹  | Bullet                         → Leg                            (L)
tan      | 滩  | Beach                          → Lake                           (L)
tan      | 袒  | Bare                           → Unveiled                       (U)
tan      | 毯  | Carpet                         → Woolen                         (W)
tan      | 碳  | Carbon                         → High                           (H)
tang     | 汤  | Soup                           → Old                            (O)
tang     | 糖  | Sugar                          → Fat                            (F)
tang     | 趟  | Trip                           → One                            (O)
tang     | 堂  | Hall                           → One                            (O)
tang     | 膛  | Chest                          → Face                           (F)
tang     | 棠  | Crabapple                      → Zuo                            (Z)
tang     | 搪  | Block                          → Enamel                         (E)
tao      | 桃  | Peach                          → Jade                           (J)
tao      | 陶  | Pottery                        → Ye                             (Y)
tao      | 淘  | Pan                            → Naughty                        (N)
ti       | 提  | Carry                          → It                             (I)
ti       | 啼  | Cry                            → Yuán                           (Y)
ti       | 题  | Topic                          → Mei                            (M)
ti       | 涕  | Tear                           → Weep                           (W)
tian     | 天  | Sky                            → To                             (T)
tian     | 甜  | Sweet                          → Rum                            (R)
tian     | 田  | Farm                           → To                             (T)
tian     | 填  | Fill                           → to                             (t)
tian     | 恬  | Calm                           → Meng                           (M)
tian     | 阗  | Crowded                        → Yutian                         (Y)
ting     | 停  | Stop                           → No                             (N)
ting     | 汀  | Sandbar                        → Westing                        (W)
ting     | 厅  | Hall                           → inside                         (i)
ting     | 庭  | Hall                           → In                             (I)
ting     | 烃  | Hydrocarbon                    → Alkyl                          (A)
ting     | 挺  | Firm                           → Ye                             (Y)
ting     | 町  | Field                          → Xinding                        (X)
tong     | 同  | Same                           → At                             (A)
tong     | 佟  | Surname Tong                   → 佟麟阁                            (佟)
tong     | 通  | Connect                        → No                             (N)
tong     | 童  | Child                          → Women                          (W)
tong     | 铜  | Copper                         → Iron                           (I)
tong     | 痛  | Pain                           → Feel                           (F)
tong     | 桐  | Paulownia                      → Hoop                           (H)
tong     | 筒  | Tube                           → Leg                            (L)
tong     | 潼  | Tong River                     → Zitong                         (Z)
tou      | 头  | Top                            → At                             (A)
tou      | 投  | Throw                          → Go                             (G)
tu       | 突  | Sudden                         → To                             (T)
tu       | 吐  | Spit                           → To                             (T)
tu       | 涂  | Spread                         → To                             (T)
tu       | 途  | Road                           → To                             (T)
tu       | 兔  | Rabbit                         → Tui                            (T)
tu       | 屠  | Butcher                        → To                             (T)
tu       | 秃  | Bald                           → Tufa                           (T)
tu       | 荼  | Bitter herb                    → Door                           (D)
tuan     | 抟  | Roll                           → Chen                           (C)
tuo      | 拖  | Drag                           → Mop                            (M)
tuo      | 拓  | Develop                        → Network                        (N)
tuo      | 托  | Hold                           → Rely                           (R)
tuo      | 佗  | He                             → Name                           (N)
tuo      | 陀  | Crag                           → Atuo                           (A)
tuo      | 驼  | Camel                          → Alpaca                         (A)
tuo      | 驮  | Carry on back                  → Vajra                          (V)
tuo      | 跎  | Wander                         → Years                          (Y)
wa       | 哇  | Wow                            → Java                           (J)
wan      | 晚  | Late                           → Old                            (O)
wan      | 玩  | Play                           → Eat                            (E)
wan      | 挽  | Pull                           → Hand                           (H)
wan      | 丸  | Pill                           → Omun                           (O)
wan      | 惋  | Pity                           → Regret                         (R)
wan      | 豌  | Pea                            → Yellow                         (Y)
wan      | 弯  | Bend                           → Qu                             (Q)
wan      | 碗  | Bowl                           → One                            (O)
wan      | 湾  | Bay                            → Da                             (D)
wan      | 腕  | Wrist                          → On                             (O)
wan      | 宛  | As                             → Dayuan                         (D)
wan      | 皖  | Anhui                          → 皖南                             (皖)
wan      | 烷  | Alkane                         → Ethyl                          (E)
wang     | 往  | Past                           → To                             (T)
wang     | 亡  | Perish                         → To                             (T)
wang     | 汪  | Deep                           → The                            (T)
wang     | 罔  | Deceive                        → Wangfa                         (W)
wang     | 枉  | Crooked                        → In                             (I)
wang     | 惘  | Confused                       → Blankly                        (B)
wei      | 为  | Do                             → In                             (I)
wei      | 卫  | Defend                         → Air                            (A)
wei      | 位  | Position                       → In                             (I)
wei      | 威  | Power                          → King                           (K)
wei      | 微  | Tiny                           → In                             (I)
